mean_distance,mean_duration,total_amount,rush_hour
1.513125,10.688541666666666,7.3,0
1.6286363636363637,15.67121212121212,9.3,1
1.6576923076923078,11.67051282051282,7.8,0
1.2841666666666667,7.5125,7.8,0
1.395,10.807142857142857,9.8,0
1.0263461538461538,9.357051282051282,5.8,0
1.5231578947368423,11.078070175438596,8.8,1
1.3051219512195122,8.928455284552845,7.799999999999999,0
8.18,25.266666666666666,26.8,0
1.9000000000000001,10.0,10.8,0
1.273125,8.052083333333334,8.8,0
1.897391304347826,13.296376811594202,12.8,1
1.3573333333333333,10.107777777777779,9.8,1
1.3599999999999999,10.895238095238096,11.3,0
0.9922950819672132,10.048087431693988,5.3,0
6.7,11.616666666666667,20.8,0
2.025,9.112499999999999,11.8,1
1.6226666666666667,11.204444444444444,7.799999999999999,0
0.6377777777777778,5.6194444444444445,6.3,0
13.8125,31.942708333333336,53.8,1
4.56,26.689583333333335,21.8,0
1.8914285714285715,12.810714285714285,12.3,1
0.95,10.166666666666668,10.8,1
0.0,0.16666666666666666,3.8,0
0.7033333333333333,8.76388888888889,6.3,0
15.393333333333333,31.942708333333336,45.8,1
1.7356,11.968,7.3,0
3.79,14.316666666666666,16.3,0
6.02,16.216666666666665,20.8,0
1.6226666666666667,11.204444444444444,9.3,0
2.1242857142857146,10.673809523809524,8.8,1
0.6692592592592592,6.098765432098765,6.3,1
1.8025,9.870833333333334,10.8,0
1.0825925925925926,8.131481481481481,8.8,1
1.1538461538461537,10.95,8.3,0
1.5422222222222222,12.17962962962963,9.3,0
1.22075,6.367916666666667,5.8,1
1.0814285714285714,9.107142857142858,8.3,0
4.416666666666667,26.20555555555556,26.3,1
1.335,10.120833333333334,9.8,0
1.44875,7.65625,8.3,0
5.0,28.933333333333334,21.8,0
0.72975,8.2675,6.3,0
1.9310526315789474,11.378947368421052,10.8,0
1.0045161290322582,31.942708333333336,7.800000000000001,1
1.4741666666666666,11.185648148148148,14.8,1
0.48,3.316666666666667,4.8,1
2.1,6.183333333333334,9.3,0
1.4788571428571429,11.307619047619047,16.299999999999997,0
1.3199999999999998,9.476470588235294,9.8,1
4.0649999999999995,16.016666666666666,19.3,0
17.224,31.942708333333336,47.3,1
5.024,18.02,22.3,0
2.4779166666666668,15.940972222222221,13.3,0
2.9633333333333334,17.033333333333335,12.3,0
0.6,1.9,4.800000000000001,0
1.3877777777777778,8.031481481481482,6.3,0
6.087142857142857,18.295238095238094,20.8,0
0.6828947368421052,4.494736842105263,6.3,0
1.9288888888888889,14.470370370370368,12.3,0
2.1418181818181816,13.395454545454545,9.8,0
2.260909090909091,15.786363636363637,13.8,0
1.7356,11.968,12.8,0
0.9939024390243902,8.804878048780488,8.8,0
3.043636363636364,19.94393939393939,18.8,1
0.0,0.43333333333333335,4.3,1
0.7604761904761904,5.919047619047619,7.799999999999999,0
3.3175,18.4,18.8,0
0.9872222222222222,8.190740740740742,6.3,1
7.41,20.866666666666667,25.3,1
1.34375,12.832291666666666,7.3,0
2.562727272727273,18.87727272727273,13.3,1
2.1383333333333336,13.63888888888889,7.3,0
2.275,16.8625,12.8,0
0.62,3.2666666666666666,5.3,0
2.022666666666667,11.957777777777778,10.3,1
0.24,1.7166666666666666,4.3,1
1.3118181818181818,10.590909090909092,14.8,1
3.9333333333333336,23.683333333333334,21.3,1
0.7782352941176471,6.505882352941177,8.3,0
2.68,14.25,12.3,0
10.29,24.75,33.3,1
5.61375,23.991666666666667,24.3,0
0.8047916666666667,5.777430555555555,9.8,0
1.7333333333333334,11.068888888888889,9.8,0
0.4,1.2666666666666666,4.3,1
0.8345,6.94,6.3,0
0.8240909090909091,4.753409090909091,7.8,1
1.5530769230769232,13.426923076923078,8.8,0
1.042258064516129,6.738709677419355,10.8,0
0.9668965517241379,10.121264367816092,7.8,0
1.0105128205128204,8.135042735042735,10.8,0
0.9511111111111111,4.648148148148149,7.8,1
9.5,31.942708333333336,29.8,0
0.02,0.16666666666666666,3.3,0
1.230597014925373,31.942708333333336,11.8,0
0.4,7.416666666666667,6.8,0
0.79,3.783333333333333,6.3,0
1.6224999999999998,12.016666666666666,9.8,0
1.683478260869565,12.531159420289857,11.3,0
0.9668965517241379,10.121264367816092,7.8,0
0.8635714285714285,6.4750000000000005,9.8,0
1.487142857142857,9.857142857142858,13.3,0
3.2785714285714285,17.39047619047619,16.299999999999997,0
1.01,7.005555555555556,12.3,0
2.23,12.879166666666666,12.8,0
3.388888888888889,11.983333333333333,11.3,1
0.64,3.6666666666666665,6.3,1
1.8090909090909089,12.101515151515152,10.8,0
1.7175,12.0125,12.3,1
1.0533333333333335,5.711111111111111,6.8,0
1.61625,13.197916666666668,10.8,1
8.83,28.462121212121215,32.800000000000004,1
0.7083333333333334,8.223888888888888,7.3,1
1.1286666666666667,4.945555555555556,5.8,0
13.31,31.942708333333336,41.8,0
4.986666666666667,25.688888888888886,24.8,0
1.4741666666666666,11.185648148148148,9.8,0
4.772857142857142,26.50952380952381,24.8,0
1.855,15.148333333333335,18.8,0
6.98,31.942708333333336,27.8,1
3.964,22.023333333333333,23.3,1
3.75,8.98611111111111,15.8,1
1.4125,12.547500000000001,7.3,1
1.62,11.389814814814814,11.8,0
1.2558064516129033,31.942708333333336,5.8,1
3.0725,31.942708333333336,16.3,1
15.837142857142856,31.942708333333336,52.8,0
1.3325,10.908333333333333,11.3,1
1.207142857142857,8.170238095238094,10.8,0
0.9587096774193548,7.353225806451612,5.300000000000001,0
0.6699999999999999,4.283333333333333,5.8,0
2.106923076923077,18.58205128205128,10.8,0
1.2128571428571429,10.923015873015872,15.8,1
1.4092857142857143,12.20952380952381,8.8,1
1.2377777777777779,9.737037037037037,9.8,0
2.3992307692307695,18.253846153846155,10.8,0
5.725,29.458333333333332,25.3,1
1.1636,8.545333333333334,9.8,1
3.9400000000000004,15.983333333333333,15.3,0
5.203333333333333,25.28333333333333,30.3,0
0.7066666666666667,4.944444444444444,4.8,0
1.0374193548387096,6.557258064516129,8.3,0
1.1652173913043478,8.65144927536232,8.3,0
0.7116666666666667,6.664351851851851,5.8,1
0.7273076923076923,5.239743589743591,5.300000000000001,0
2.5324999999999998,13.875,14.3,0
3.1975,30.35,14.8,0
0.41,3.183333333333333,4.8,0
3.3266666666666667,17.383333333333333,12.8,0
1.2545454545454546,10.387878787878789,6.800000000000001,1
1.458,12.723333333333333,7.3,0
2.6,8.166666666666666,11.8,0
0.928695652173913,8.094927536231884,7.299999999999999,0
0.7854545454545455,5.865151515151515,7.3,0
2.728,13.780000000000001,13.3,0
7.145,27.15,27.8,0
2.8049999999999997,14.706944444444446,18.3,1
1.474705882352941,13.119607843137254,10.8,1
0.9668965517241379,10.121264367816092,8.3,0
0.886875,7.039583333333334,7.8,0
1.2165217391304348,8.710869565217392,7.3,0
0.75,5.2,6.3,0
1.2505128205128206,9.424358974358976,7.799999999999999,1
4.3100000000000005,19.8125,17.3,1
5.9,30.783333333333335,24.8,0
0.6303846153846154,5.390384615384615,7.3,0
0.9008695652173913,10.146376811594203,9.3,1
9.2,22.533333333333335,29.8,0
2.2085714285714286,12.685714285714285,12.8,1
3.635,18.09166666666667,15.8,0
10.325,24.2,32.800000000000004,0
1.0116216216216216,7.7081081081081075,8.299999999999999,0
2.0314285714285716,11.767857142857142,14.8,0
4.154285714285714,20.27857142857143,14.8,0
2.29,10.866666666666667,11.8,0
1.6625,16.491666666666667,11.8,0
1.4584000000000001,11.556666666666667,11.8,1
1.2666666666666666,9.129629629629628,7.8,0
0.7666666666666666,7.384722222222223,8.8,0
1.0263461538461538,9.357051282051282,9.8,1
1.032857142857143,5.978571428571429,5.800000000000001,0
20.2,31.942708333333336,70.3,0
0.6828947368421052,4.494736842105263,6.8,1
0.2,2.5833333333333335,4.3,0
1.0374193548387096,6.557258064516129,5.800000000000001,1
0.8309375,8.105208333333334,7.300000000000001,0
0.9757777777777779,31.942708333333336,9.3,0
1.307037037037037,9.525925925925925,6.800000000000001,0
2.5399999999999996,13.941025641025643,9.8,1
0.3,2.033333333333333,4.8,0
1.6566666666666665,7.616666666666667,8.8,0
0.0,0.45,3.3,0
1.1402083333333333,7.668055555555555,5.8,1
1.3877777777777778,8.031481481481482,7.8,0
0.99,9.214285714285714,8.3,0
2.382,17.321666666666665,13.3,1
1.2576470588235293,13.459803921568627,18.8,1
7.9,31.942708333333336,31.8,0
6.1,31.942708333333336,28.8,0
5.324,25.46333333333333,17.3,0
3.496,12.146666666666667,14.3,0
1.1625,11.910833333333333,7.300000000000001,0
1.7356,11.968,9.3,0
0.5,2.6333333333333333,4.8,0
10.7,22.983333333333334,33.8,0
3.13,16.516666666666666,14.8,0
2.88,17.71904761904762,14.3,0
2.638333333333333,16.469444444444445,11.8,0
5.455,27.6,28.8,1
0.7,8.033333333333333,7.3,1
2.1418181818181816,13.395454545454545,13.8,0
0.25,2.2333333333333334,4.8,0
3.278,15.063333333333333,10.3,0
2.7566666666666664,19.38888888888889,16.3,1
2.3992307692307695,18.253846153846155,16.299999999999997,0
1.0833333333333333,5.186111111111111,8.8,0
2.71,17.608333333333334,15.8,0
1.4788571428571429,11.307619047619047,9.3,0
0.9963636363636365,12.066666666666668,6.8,1
1.5977777777777777,13.516666666666667,13.3,0
0.8548,8.276666666666666,7.8,1
1.051212121212121,8.531818181818181,10.3,1
4.26,18.195833333333333,18.3,0
5.65,19.916666666666664,19.3,0
